Wavelength (nm), Intensity
2.732772600085531280e+02,1.182000000000000000e+03
2.735458982513974320e+02,1.159000000000000000e+03
2.738145268388324212e+02,1.155000000000000000e+03
2.740831457708321182e+02,1.150000000000000000e+03
2.743517550473703750e+02,1.183000000000000000e+03
2.746203546684211574e+02,1.181000000000000000e+03
2.748889446339584310e+02,1.185000000000000000e+03
2.751575249439559911e+02,1.167000000000000000e+03
2.754260955983878034e+02,1.193000000000000000e+03
2.756946565972278336e+02,1.179000000000000000e+03
2.759632079404499905e+02,1.161000000000000000e+03
2.762317496280281262e+02,1.148000000000000000e+03
2.765002816599362632e+02,1.151000000000000000e+03
2.767688040361482535e+02,1.154000000000000000e+03
2.770373167566380630e+02,1.174000000000000000e+03
2.773058198213795436e+02,1.139000000000000000e+03
2.775743132303466609e+02,1.166000000000000000e+03
2.778427969835133240e+02,1.183000000000000000e+03
2.781112710808534416e+02,1.210000000000000000e+03
2.783797355223410364e+02,1.129000000000000000e+03
2.786481903079498466e+02,1.169000000000000000e+03
2.789166354376538948e+02,1.165000000000000000e+03
2.791850709114271467e+02,1.177000000000000000e+03
2.794534967292434544e+02,1.147000000000000000e+03
2.797219128910767267e+02,1.172000000000000000e+03
2.799903193969009294e+02,1.161000000000000000e+03
2.802587162466899713e+02,1.168000000000000000e+03
2.805271034404177044e+02,1.149000000000000000e+03
2.807954809780581513e+02,1.159000000000000000e+03
2.810638488595852209e+02,1.151000000000000000e+03
2.813322070849727652e+02,1.153000000000000000e+03
2.816005556541948067e+02,1.139000000000000000e+03
2.818688945672251407e+02,1.166000000000000000e+03
2.821372238240377328e+02,1.169000000000000000e+03
2.824055434246064920e+02,1.163000000000000000e+03
2.826738533689054975e+02,1.158000000000000000e+03
2.829421536569083742e+02,1.141000000000000000e+03
2.832104442885892581e+02,1.133000000000000000e+03
2.834787252639220583e+02,1.152000000000000000e+03
2.837469965828806266e+02,1.134000000000000000e+03
2.840152582454389858e+02,1.187000000000000000e+03
2.842835102515708741e+02,1.176000000000000000e+03
2.845517526012503140e+02,1.177000000000000000e+03
2.848199852944512713e+02,1.158000000000000000e+03
2.850882083311475981e+02,1.185000000000000000e+03
2.853564217113132599e+02,1.186000000000000000e+03
2.856246254349221090e+02,1.160000000000000000e+03
2.858928195019481677e+02,1.145000000000000000e+03
2.861610039123652882e+02,1.171000000000000000e+03
2.864291786661474362e+02,1.143000000000000000e+03
2.866973437632684067e+02,1.169000000000000000e+03
2.869654992037022794e+02,1.139000000000000000e+03
2.872336449874228492e+02,1.194000000000000000e+03
2.875017811144040820e+02,1.197000000000000000e+03
2.877699075846200003e+02,1.194000000000000000e+03
2.880380243980443993e+02,1.163000000000000000e+03
2.883061315546511878e+02,1.191000000000000000e+03
2.885742290544144453e+02,1.179000000000000000e+03
2.888423168973078532e+02,1.161000000000000000e+03
2.891103950833054341e+02,1.132000000000000000e+03
2.893784636123812675e+02,1.175000000000000000e+03
2.896465224845090347e+02,1.172000000000000000e+03
2.899145716996627584e+02,1.223000000000000000e+03
2.901826112578164043e+02,1.147000000000000000e+03
2.904506411589438812e+02,1.161000000000000000e+03
2.907186614030189844e+02,1.157000000000000000e+03
2.909866719900157364e+02,1.176000000000000000e+03
2.912546729199081028e+02,1.146000000000000000e+03
2.915226641926698790e+02,1.153000000000000000e+03
2.917906458082751442e+02,1.159000000000000000e+03
2.920586177666975800e+02,1.183000000000000000e+03
2.923265800679113227e+02,1.153000000000000000e+03
2.925945327118902242e+02,1.183000000000000000e+03
2.928624756986081934e+02,1.177000000000000000e+03
2.931304090280391961e+02,1.210000000000000000e+03
2.933983327001571411e+02,1.178000000000000000e+03
2.936662467149358235e+02,1.160000000000000000e+03
2.939341510723492661e+02,1.144000000000000000e+03
2.942020457723714912e+02,1.179000000000000000e+03
2.944699308149762373e+02,1.190000000000000000e+03
2.947378062001375270e+02,1.158000000000000000e+03
2.950056719278292690e+02,1.157000000000000000e+03
2.952735279980253722e+02,1.174000000000000000e+03
2.955413744106996887e+02,1.158000000000000000e+03
2.958092111658261842e+02,1.168000000000000000e+03
2.960770382633789382e+02,1.170000000000000000e+03
2.963448557033316320e+02,1.204000000000000000e+03
2.966126634856582882e+02,1.161000000000000000e+03
2.968804616103328158e+02,1.183000000000000000e+03
2.971482500773291235e+02,1.176000000000000000e+03
2.974160288866212341e+02,1.189000000000000000e+03
2.976837980381829425e+02,1.156000000000000000e+03
2.979515575319881577e+02,1.164000000000000000e+03
2.982193073680108455e+02,1.149000000000000000e+03
2.984870475462250283e+02,1.171000000000000000e+03
2.987547780666043877e+02,1.179000000000000000e+03
2.990224989291231168e+02,1.185000000000000000e+03
2.992902101337549539e+02,1.173000000000000000e+03
2.995579116804738646e+02,1.185000000000000000e+03
2.998256035692538148e+02,1.179000000000000000e+03
3.000932858000686565e+02,1.155000000000000000e+03
3.003609583728923553e+02,1.177000000000000000e+03
3.006286212876987065e+02,1.183000000000000000e+03
3.008962745444619031e+02,1.156000000000000000e+03
3.011639181431556267e+02,1.189000000000000000e+03
3.014315520837538429e+02,1.161000000000000000e+03
3.016991763662305175e+02,1.179000000000000000e+03
3.019667909905595593e+02,1.128000000000000000e+03
3.022343959567148772e+02,1.147000000000000000e+03
3.025019912646703233e+02,1.160000000000000000e+03
3.027695769144000337e+02,1.183000000000000000e+03
3.030371529058776900e+02,1.160000000000000000e+03
3.033047192390773148e+02,1.182000000000000000e+03
3.035722759139728169e+02,1.163000000000000000e+03
3.038398229305381051e+02,1.186000000000000000e+03
3.041073602887471452e+02,1.180000000000000000e+03
3.043748879885738461e+02,1.181000000000000000e+03
3.046424060299921166e+02,1.179000000000000000e+03
3.049099144129758088e+02,1.173000000000000000e+03
3.051774131374988883e+02,1.148000000000000000e+03
3.054449022035353778e+02,1.159000000000000000e+03
3.057123816110590155e+02,1.159000000000000000e+03
3.059798513600438241e+02,1.192000000000000000e+03
3.062473114504638261e+02,1.157000000000000000e+03
3.065147618822927029e+02,1.190000000000000000e+03
3.067822026555045909e+02,1.166000000000000000e+03
3.070496337700732852e+02,1.173000000000000000e+03
3.073170552259726946e+02,1.156000000000000000e+03
3.075844670231767850e+02,1.180000000000000000e+03
3.078518691616595220e+02,1.178000000000000000e+03
3.081192616413948144e+02,1.154000000000000000e+03
3.083866444623564576e+02,1.146000000000000000e+03
3.086540176245185307e+02,1.184000000000000000e+03
3.089213811278548860e+02,1.151000000000000000e+03
3.091887349723393754e+02,1.150000000000000000e+03
3.094560791579461352e+02,1.135000000000000000e+03
3.097234136846487900e+02,1.171000000000000000e+03
3.099907385524214760e+02,1.125000000000000000e+03
3.102580537612380454e+02,1.161000000000000000e+03
3.105253593110723500e+02,1.161000000000000000e+03
3.107926552018984694e+02,1.185000000000000000e+03
3.110599414336901987e+02,1.173000000000000000e+03
3.113272180064214467e+02,1.187000000000000000e+03
3.115944849200661793e+02,1.151000000000000000e+03
3.118617421745983620e+02,1.173000000000000000e+03
3.121289897699918470e+02,1.179000000000000000e+03
3.123962277062205999e+02,1.190000000000000000e+03
3.126634559832585296e+02,1.151000000000000000e+03
3.129306746010795450e+02,1.173000000000000000e+03
3.131978835596575550e+02,1.187000000000000000e+03
3.134650828589664115e+02,1.202000000000000000e+03
3.137322724989801941e+02,1.169000000000000000e+03
3.139994524796726409e+02,1.147000000000000000e+03
3.142666228010178315e+02,1.141000000000000000e+03
3.145337834629896747e+02,1.166000000000000000e+03
3.148009344655620225e+02,1.160000000000000000e+03
3.150680758087087838e+02,1.158000000000000000e+03
3.153352074924039243e+02,1.163000000000000000e+03
